week,OffenseTeam,DefenseTeam,Down,YardsToGo,yardline_100,play_type,Quarter,game_seconds_remaining,game_half,drive,series,score_differential,stadium,roof,surface_type,HOME_day_since_last_game,AWAY_day_since_last_game,total_play_count,home_team_on_offense,home_team_on_defense,season_progression,defenders_in_box,offense_formation,Temperature,Precipitation,goal_line_situation,pass_count,run_count,current_defence_rank,temperature_grade,epa,late_season,is_close_game,poor_field_condition,rest_differential,blitz_situation,short_rest,pass_run_ratio,offensive_predictability,fourth_down_attempt,third_and_long,Predicted,Actual,Fold,Rule_Number
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
3,29,9,2,10,14,4,3,985,2,19,39,15,7,3,2,7.0,7.0,125,56,69,0.176470588,6,7,53.21,0.001333333,0,68,27,7,2,-1.364393223,0,0,1,0.0,0,0,0.715789474,0.215789474,0,0,1,1,39,20
11,27,0,2,2,68,8,2,1832,1,11,25,6,20,3,1,4.0,4.0,81,46,35,0.647058824,6,7,44.45,0.019666667,0,35,26,25,1,0.230997056,0,0,0,0.0,0,1,0.573770492,0.073770492,0,0,1,1,39,20
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
12,26,2,1,10,50,4,3,1039,2,16,34,5,1,3,2,10.0,10.0,105,53,52,0.705882353,6,7,34.25,0.0,0,48,34,12,1,0.552987208,0,0,1,0.0,0,0,0.585365854,0.085365854,0,0,1,1,39,20
16,26,13,2,8,63,4,4,155,2,23,60,4,1,3,2,6.0,7.0,154,81,73,0.941176471,5,0,38.22285714,0.0,0,77,40,11,1,-0.477685538,1,1,1,-1.0,0,1,0.658119658,0.158119658,0,0,0,1,39,18
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
9,21,24,1,9,9,8,4,502,2,13,48,-10,23,3,1,8.0,8.0,121,52,69,0.529411765,7,2,54.65,0.0,0,45,50,24,2,-0.218007581,0,0,0,0.0,1,0,0.473684211,0.026315789,0,0,1,1,39,20
7,12,11,2,10,98,4,2,2196,1,8,17,-14,24,0,2,7.0,7.0,56,22,34,0.411764706,4,0,73.91428571,0.0,0,24,19,8,3,1.067865345,0,0,1,0.0,0,0,0.558139535,0.058139535,0,0,0,1,39,18
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
7,21,28,2,5,71,4,1,3266,1,2,6,-7,12,3,2,7.0,7.0,14,3,11,0.411764706,8,2,46.91,0.0,0,5,6,9,2,0.570167889,0,0,1,0.0,1,0,0.454545455,0.045454545,0,0,0,1,39,36
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
9,21,24,1,9,9,8,4,502,2,13,48,-10,23,3,1,8.0,8.0,121,52,69,0.529411765,7,2,54.65,0.0,0,45,50,24,2,-0.218007581,0,0,0,0.0,1,0,0.473684211,0.026315789,0,0,1,1,39,20
12,20,4,1,10,75,8,3,1741,2,10,29,-4,34,1,4,7.0,7.0,85,47,38,0.705882353,5,9,34.16,0.0,0,34,33,26,1,-8.857124842,0,0,0,0.0,0,0,0.507462687,0.007462687,0,0,0,1,39,21
13,31,26,2,6,38,4,3,1551,2,16,32,-11,1,3,2,5.0,11.0,99,47,52,0.764705882,7,8,29.78857143,0.0,0,56,19,2,1,-0.882954351,1,0,1,-6.0,1,1,0.746666667,0.246666667,0,0,1,1,39,20
12,26,2,1,10,50,4,3,1039,2,16,34,5,1,3,2,10.0,10.0,105,53,52,0.705882353,6,7,34.25,0.0,0,48,34,12,1,0.552987208,0,0,1,0.0,0,0,0.585365854,0.085365854,0,0,1,1,39,20
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
10,28,27,1,10,83,4,1,3077,1,3,7,3,16,3,2,11.0,8.0,23,18,5,0.588235294,8,7,63.33285714,0.0,0,11,5,21,0,2.059766449,0,0,1,3.0,1,0,0.6875,0.1875,0,0,0,1,39,39
16,9,17,2,4,41,8,1,3148,1,2,6,-3,30,1,3,10.0,8.0,16,6,10,0.941176471,7,8,60.14,0.0,0,6,7,14,2,-0.268191155,1,0,0,2.0,1,0,0.461538462,0.038461538,0,0,0,1,39,36
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
12,26,2,1,10,50,4,3,1039,2,16,34,5,1,3,2,10.0,10.0,105,53,52,0.705882353,6,7,34.25,0.0,0,48,34,12,1,0.552987208,0,0,1,0.0,0,0,0.585365854,0.085365854,0,0,1,1,39,20
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
10,28,27,1,10,83,4,1,3077,1,3,7,3,16,3,2,11.0,8.0,23,18,5,0.588235294,8,7,63.33285714,0.0,0,11,5,21,0,2.059766449,0,0,1,3.0,1,0,0.6875,0.1875,0,0,0,1,39,39
12,20,4,1,10,75,8,3,1741,2,10,29,-4,34,1,4,7.0,7.0,85,47,38,0.705882353,5,9,34.16,0.0,0,34,33,26,1,-8.857124842,0,0,0,0.0,0,0,0.507462687,0.007462687,0,0,0,1,39,21
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
3,25,6,1,10,81,4,1,3069,1,4,9,0,17,3,2,7.0,10.0,21,9,12,0.176470588,6,8,77.59142857,0.0,0,10,8,23,3,0.361388716,0,0,1,-3.0,0,0,0.555555556,0.055555556,0,0,0,1,39,36
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
12,20,4,1,10,75,8,3,1741,2,10,29,-4,34,1,4,7.0,7.0,85,47,38,0.705882353,5,9,34.16,0.0,0,34,33,26,1,-8.857124842,0,0,0,0.0,0,0,0.507462687,0.007462687,0,0,0,1,39,21
3,14,19,1,10,53,4,4,185,2,19,55,-18,9,3,2,4.0,4.0,148,77,71,0.176470588,6,7,78.65,0.0,0,65,49,15,3,0.313044667,0,0,1,0.0,0,1,0.570175439,0.070175439,0,0,1,1,39,20
8,1,4,3,2,70,3,4,293,2,15,52,8,3,3,2,4.0,4.0,133,57,76,0.470588235,5,0,71.69,0.037333333,0,53,52,26,0,0.791241358,0,0,1,0.0,0,1,0.504761905,0.004761905,0,0,0,1,39,18
7,0,27,4,1,45,8,4,252,2,19,60,-10,32,0,2,6.0,14.0,151,73,78,0.411764706,7,8,76.56285714,0.0,0,71,49,10,3,1.529392278,0,0,1,-8.0,1,1,0.591666667,0.091666667,1,0,1,1,39,27
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
14,12,5,4,4,69,5,2,1912,1,11,27,-16,31,3,2,7.0,7.0,73,33,40,0.823529412,0,6,35.29142857,0.0,0,32,21,6,1,0.00271066,1,0,1,0.0,0,0,0.603773585,0.103773585,0,0,0,1,39,5
5,6,0,1,13,13,4,3,1477,2,10,35,-7,27,3,2,6.0,7.0,100,45,55,0.294117647,8,8,73.42571429,0.009,0,38,40,27,3,-0.548132915,0,0,1,-1.0,1,1,0.487179487,0.012820513,0,0,1,1,39,20
11,8,10,2,9,40,4,4,244,2,20,54,8,10,1,1,7.0,7.0,155,75,80,0.647058824,7,7,36.98857143,0.0,0,71,47,8,1,-0.575574449,0,0,0,0.0,1,0,0.601694915,0.101694915,0,0,1,1,39,20
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
13,31,26,2,6,38,4,3,1551,2,16,32,-11,1,3,2,5.0,11.0,99,47,52,0.764705882,7,8,29.78857143,0.0,0,56,19,2,1,-0.882954351,1,0,1,-6.0,1,1,0.746666667,0.246666667,0,0,1,1,39,20
10,28,27,1,10,83,4,1,3077,1,3,7,3,16,3,2,11.0,8.0,23,18,5,0.588235294,8,7,63.33285714,0.0,0,11,5,21,0,2.059766449,0,0,1,3.0,1,0,0.6875,0.1875,0,0,0,1,39,39
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
10,28,27,1,10,83,4,1,3077,1,3,7,3,16,3,2,11.0,8.0,23,18,5,0.588235294,8,7,63.33285714,0.0,0,11,5,21,0,2.059766449,0,0,1,3.0,1,0,0.6875,0.1875,0,0,0,1,39,39
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
3,25,6,1,10,81,4,1,3069,1,4,9,0,17,3,2,7.0,10.0,21,9,12,0.176470588,6,8,77.59142857,0.0,0,10,8,23,3,0.361388716,0,0,1,-3.0,0,0,0.555555556,0.055555556,0,0,0,1,39,36
2,3,23,1,20,65,4,2,2288,1,8,22,7,23,3,1,7.0,7.0,59,23,36,0.117647059,7,7,80.85714286,0.0,0,25,20,10,3,3.466870873,0,0,0,0.0,1,0,0.555555556,0.055555556,0,0,1,1,39,27
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
7,12,11,2,10,98,4,2,2196,1,8,17,-14,24,0,2,7.0,7.0,56,22,34,0.411764706,4,0,73.91428571,0.0,0,24,19,8,3,1.067865345,0,0,1,0.0,0,0,0.558139535,0.058139535,0,0,0,1,39,18
11,27,0,2,2,68,8,2,1832,1,11,25,6,20,3,1,4.0,4.0,81,46,35,0.647058824,6,7,44.45,0.019666667,0,35,26,25,1,0.230997056,0,0,0,0.0,0,1,0.573770492,0.073770492,0,0,1,1,39,20
11,27,0,2,2,68,8,2,1832,1,11,25,6,20,3,1,4.0,4.0,81,46,35,0.647058824,6,7,44.45,0.019666667,0,35,26,25,1,0.230997056,0,0,0,0.0,0,1,0.573770492,0.073770492,0,0,1,1,39,20
16,26,13,2,8,63,4,4,155,2,23,60,4,1,3,2,6.0,7.0,154,81,73,0.941176471,5,0,38.22285714,0.0,0,77,40,11,1,-0.477685538,1,1,1,-1.0,0,1,0.658119658,0.158119658,0,0,0,1,39,18
12,20,4,1,10,75,8,3,1741,2,10,29,-4,34,1,4,7.0,7.0,85,47,38,0.705882353,5,9,34.16,0.0,0,34,33,26,1,-8.857124842,0,0,0,0.0,0,0,0.507462687,0.007462687,0,0,0,1,39,21
5,6,0,1,13,13,4,3,1477,2,10,35,-7,27,3,2,6.0,7.0,100,45,55,0.294117647,8,8,73.42571429,0.009,0,38,40,27,3,-0.548132915,0,0,1,-1.0,1,1,0.487179487,0.012820513,0,0,1,1,39,20
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
3,25,6,1,10,81,4,1,3069,1,4,9,0,17,3,2,7.0,10.0,21,9,12,0.176470588,6,8,77.59142857,0.0,0,10,8,23,3,0.361388716,0,0,1,-3.0,0,0,0.555555556,0.055555556,0,0,0,1,39,36
10,28,27,3,5,25,4,1,3209,1,1,5,0,16,3,2,11.0,8.0,16,16,0,0.588235294,7,7,63.33285714,0.0,0,8,4,21,0,-1.617998271,0,0,1,3.0,1,0,0.666666667,0.166666667,0,0,0,1,39,39
10,30,13,2,5,56,3,2,2164,1,7,24,0,25,3,2,4.0,4.0,62,29,33,0.588235294,7,7,44.84,0.0,0,28,20,11,2,0.452837851,0,0,1,0.0,1,1,0.583333333,0.083333333,0,0,1,1,39,20
14,12,5,4,4,69,5,2,1912,1,11,27,-16,31,3,2,7.0,7.0,73,33,40,0.823529412,0,6,35.29142857,0.0,0,32,21,6,1,0.00271066,1,0,1,0.0,0,0,0.603773585,0.103773585,0,0,0,1,39,5
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
5,6,0,1,13,13,4,3,1477,2,10,35,-7,27,3,2,6.0,7.0,100,45,55,0.294117647,8,8,73.42571429,0.009,0,38,40,27,3,-0.548132915,0,0,1,-1.0,1,1,0.487179487,0.012820513,0,0,1,1,39,20
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
3,29,9,2,10,14,4,3,985,2,19,39,15,7,3,2,7.0,7.0,125,56,69,0.176470588,6,7,53.21,0.001333333,0,68,27,7,2,-1.364393223,0,0,1,0.0,0,0,0.715789474,0.215789474,0,0,1,1,39,20
3,3,6,2,6,58,8,1,2721,1,7,14,8,14,3,0,7.0,7.0,42,28,14,0.176470588,8,8,82.96571429,0.0,0,19,12,24,3,0.909224141,0,0,0,0.0,1,0,0.612903226,0.112903226,0,0,0,1,39,36
1,0,10,1,10,38,4,4,120,2,26,53,-8,32,0,2,20.0,20.0,169,83,86,0.058823529,4,0,98.06,0.0,0,80,45,8,3,-0.850927476,0,0,1,0.0,0,0,0.64,0.14,0,0,0,1,39,18
5,6,0,1,13,13,4,3,1477,2,10,35,-7,27,3,2,6.0,7.0,100,45,55,0.294117647,8,8,73.42571429,0.009,0,38,40,27,3,-0.548132915,0,0,1,-1.0,1,1,0.487179487,0.012820513,0,0,1,1,39,20
13,31,26,2,6,38,4,3,1551,2,16,32,-11,1,3,2,5.0,11.0,99,47,52,0.764705882,7,8,29.78857143,0.0,0,56,19,2,1,-0.882954351,1,0,1,-6.0,1,1,0.746666667,0.246666667,0,0,1,1,39,20
11,27,0,2,2,68,8,2,1832,1,11,25,6,20,3,1,4.0,4.0,81,46,35,0.647058824,6,7,44.45,0.019666667,0,35,26,25,1,0.230997056,0,0,0,0.0,0,1,0.573770492,0.073770492,0,0,1,1,39,20
3,29,9,2,10,14,4,3,985,2,19,39,15,7,3,2,7.0,7.0,125,56,69,0.176470588,6,7,53.21,0.001333333,0,68,27,7,2,-1.364393223,0,0,1,0.0,0,0,0.715789474,0.215789474,0,0,1,1,39,20
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
14,12,5,4,4,69,5,2,1912,1,11,27,-16,31,3,2,7.0,7.0,73,33,40,0.823529412,0,6,35.29142857,0.0,0,32,21,6,1,0.00271066,1,0,1,0.0,0,0,0.603773585,0.103773585,0,0,0,1,39,5
10,28,27,1,10,83,4,1,3077,1,3,7,3,16,3,2,11.0,8.0,23,18,5,0.588235294,8,7,63.33285714,0.0,0,11,5,21,0,2.059766449,0,0,1,3.0,1,0,0.6875,0.1875,0,0,0,1,39,39
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
13,31,26,2,6,38,4,3,1551,2,16,32,-11,1,3,2,5.0,11.0,99,47,52,0.764705882,7,8,29.78857143,0.0,0,56,19,2,1,-0.882954351,1,0,1,-6.0,1,1,0.746666667,0.246666667,0,0,1,1,39,20
11,8,10,2,9,40,4,4,244,2,20,54,8,10,1,1,7.0,7.0,155,75,80,0.647058824,7,7,36.98857143,0.0,0,71,47,8,1,-0.575574449,0,0,0,0.0,1,0,0.601694915,0.101694915,0,0,1,1,39,20
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
8,1,4,3,2,70,3,4,293,2,15,52,8,3,3,2,4.0,4.0,133,57,76,0.470588235,5,0,71.69,0.037333333,0,53,52,26,0,0.791241358,0,0,1,0.0,0,1,0.504761905,0.004761905,0,0,0,1,39,18
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
7,0,27,4,1,45,8,4,252,2,19,60,-10,32,0,2,6.0,14.0,151,73,78,0.411764706,7,8,76.56285714,0.0,0,71,49,10,3,1.529392278,0,0,1,-8.0,1,1,0.591666667,0.091666667,1,0,1,1,39,27
9,21,24,2,5,70,8,2,2367,1,6,19,-3,23,3,1,8.0,8.0,48,29,19,0.529411765,6,8,54.65,0.0,0,18,20,24,2,0.923189623,0,0,0,0.0,0,0,0.473684211,0.026315789,0,0,1,1,39,20
16,9,17,2,4,41,8,1,3148,1,2,6,-3,30,1,3,10.0,8.0,16,6,10,0.941176471,7,8,60.14,0.0,0,6,7,14,2,-0.268191155,1,0,0,2.0,1,0,0.461538462,0.038461538,0,0,0,1,39,36
4,10,15,2,13,82,4,4,363,2,22,61,-4,10,1,1,7.0,7.0,152,81,71,0.235294118,6,7,61.59714286,0.011285714,0,64,52,26,0,1.033814164,0,1,0,0.0,0,0,0.551724138,0.051724138,0,0,1,1,39,20
16,26,13,2,8,63,4,4,155,2,23,60,4,1,3,2,6.0,7.0,154,81,73,0.941176471,5,0,38.22285714,0.0,0,77,40,11,1,-0.477685538,1,1,1,-1.0,0,1,0.658119658,0.158119658,0,0,0,1,39,18
5,6,0,1,13,13,4,3,1477,2,10,35,-7,27,3,2,6.0,7.0,100,45,55,0.294117647,8,8,73.42571429,0.009,0,38,40,27,3,-0.548132915,0,0,1,-1.0,1,1,0.487179487,0.012820513,0,0,1,1,39,20
11,27,0,2,2,68,8,2,1832,1,11,25,6,20,3,1,4.0,4.0,81,46,35,0.647058824,6,7,44.45,0.019666667,0,35,26,25,1,0.230997056,0,0,0,0.0,0,1,0.573770492,0.073770492,0,0,1,1,39,20
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
7,3,24,2,10,34,8,1,3128,1,2,8,-3,23,3,1,7.0,6.0,19,13,6,0.411764706,6,7,50.84,0.0,0,10,5,24,2,0.381582336,0,0,0,1.0,0,1,0.666666667,0.166666667,0,0,0,1,39,36
3,14,19,1,10,53,4,4,185,2,19,55,-18,9,3,2,4.0,4.0,148,77,71,0.176470588,6,7,78.65,0.0,0,65,49,15,3,0.313044667,0,0,1,0.0,0,1,0.570175439,0.070175439,0,0,1,1,39,20
16,9,17,2,4,41,8,1,3148,1,2,6,-3,30,1,3,10.0,8.0,16,6,10,0.941176471,7,8,60.14,0.0,0,6,7,14,2,-0.268191155,1,0,0,2.0,1,0,0.461538462,0.038461538,0,0,0,1,39,36
4,10,15,2,13,82,4,4,363,2,22,61,-4,10,1,1,7.0,7.0,152,81,71,0.235294118,6,7,61.59714286,0.011285714,0,64,52,26,0,1.033814164,0,1,0,0.0,0,0,0.551724138,0.051724138,0,0,1,1,39,20
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
8,23,10,1,10,59,4,4,595,2,16,46,-12,10,1,1,7.0,7.0,136,67,69,0.470588235,7,7,55.70857143,0.0,0,63,43,8,2,-0.906165796,0,0,0,0.0,1,0,0.594339623,0.094339623,0,0,1,1,39,20
14,12,5,4,4,69,5,2,1912,1,11,27,-16,31,3,2,7.0,7.0,73,33,40,0.823529412,0,6,35.29142857,0.0,0,32,21,6,1,0.00271066,1,0,1,0.0,0,0,0.603773585,0.103773585,0,0,0,1,39,5
8,1,4,3,2,70,3,4,293,2,15,52,8,3,3,2,4.0,4.0,133,57,76,0.470588235,5,0,71.69,0.037333333,0,53,52,26,0,0.791241358,0,0,1,0.0,0,1,0.504761905,0.004761905,0,0,0,1,39,18
10,30,13,2,5,56,3,2,2164,1,7,24,0,25,3,2,4.0,4.0,62,29,33,0.588235294,7,7,44.84,0.0,0,28,20,11,2,0.452837851,0,0,1,0.0,1,1,0.583333333,0.083333333,0,0,1,1,39,20
14,27,24,2,6,71,4,1,3286,1,2,5,-3,20,3,1,7.0,7.0,13,3,10,0.823529412,6,7,42.692,0.0056,0,4,6,24,1,1.260991022,1,0,0,0.0,0,0,0.4,0.1,0,0,0,1,39,39
2,3,23,1,20,65,4,2,2288,1,8,22,7,23,3,1,7.0,7.0,59,23,36,0.117647059,7,7,80.85714286,0.0,0,25,20,10,3,3.466870873,0,0,0,0.0,1,0,0.555555556,0.055555556,0,0,1,1,39,27
11,8,10,2,9,40,4,4,244,2,20,54,8,10,1,1,7.0,7.0,155,75,80,0.647058824,7,7,36.98857143,0.0,0,71,47,8,1,-0.575574449,0,0,0,0.0,1,0,0.601694915,0.101694915,0,0,1,1,39,20
3,23,28,2,10,65,4,4,177,2,17,54,-27,23,3,1,7.0,7.0,151,62,89,0.176470588,6,7,77.30857143,0.0,0,70,47,9,3,-1.219931341,0,0,0,0.0,0,0,0.598290598,0.098290598,0,0,0,1,39,19
16,26,13,2,8,63,4,4,155,2,23,60,4,1,3,2,6.0,7.0,154,81,73,0.941176471,5,0,38.22285714,0.0,0,77,40,11,1,-0.477685538,1,1,1,-1.0,0,1,0.658119658,0.158119658,0,0,0,1,39,18
12,26,2,1,10,50,4,3,1039,2,16,34,5,1,3,2,10.0,10.0,105,53,52,0.705882353,6,7,34.25,0.0,0,48,34,12,1,0.552987208,0,0,1,0.0,0,0,0.585365854,0.085365854,0,0,1,1,39,20
9,21,24,1,9,9,8,4,502,2,13,48,-10,23,3,1,8.0,8.0,121,52,69,0.529411765,7,2,54.65,0.0,0,45,50,24,2,-0.218007581,0,0,0,0.0,1,0,0.473684211,0.026315789,0,0,1,1,39,20
8,15,11,1,10,21,8,4,654,2,16,45,-7,11,3,0,10.0,7.0,126,59,67,0.470588235,6,8,48.5,0.0,0,68,31,13,2,-0.163125175,0,1,0,3.0,0,0,0.686868687,0.186868687,0,0,1,1,39,20
